book_authors,book_title,genres,comb
James Fenimore Cooper,the last of the mohicans,Classics Fiction Historical Historical Fiction Adventure Literature,James Fenimore Cooper the last of the mohicans Classics Fiction Historical Historical Fiction Adventure Literature
Ben Peller,to live and die in fantasyland,Fantasy,Ben Peller to live and die in fantasyland Fantasy
Robert Musil Burton Pike Sophie Wilkins,the man without qualities,Fiction Classics Philosophy European Literature German Literature Literature,Robert Musil Burton Pike Sophie Wilkins the man without qualities Fiction Classics Philosophy European Literature German Literature Literature
Sarah Dessen,lock and key,Young Adult Romance Contemporary Fiction,Sarah Dessen lock and key Young Adult Romance Contemporary Fiction
Ken Kesey,sometimes a great notion,Fiction Classics Literature Novels,Ken Kesey sometimes a great notion Fiction Classics Literature Novels
Julie Kagawa,the iron queen,Fantasy Young Adult Romance Fantasy Paranormal Paranormal Fairies,Julie Kagawa the iron queen Fantasy Young Adult Romance Fantasy Paranormal Paranormal Fairies
Claudia Gray,evernight,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance,Claudia Gray evernight Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance
J.R. Ward,lover enshrined,Romance Paranormal Romance Fantasy Paranormal Paranormal Vampires Romance Fantasy,J.R. Ward lover enshrined Romance Paranormal Romance Fantasy Paranormal Paranormal Vampires Romance Fantasy
Norman Maclean Annie Proulx,a river runs through it and other stories,Fiction Short Stories Classics Literature,Norman Maclean Annie Proulx a river runs through it and other stories Fiction Short Stories Classics Literature
Patricia Briggs,cry wolf,Fantasy Urban Fantasy Fantasy Fantasy Paranormal Romance Romance Paranormal Romance Shapeshifters Werewolves,Patricia Briggs cry wolf Fantasy Urban Fantasy Fantasy Fantasy Paranormal Romance Romance Paranormal Romance Shapeshifters Werewolves
Samantha Young,on dublin street,New Adult Contemporary Romance Contemporary Romance Romance Adult Adult Fiction Erotica,Samantha Young on dublin street New Adult Contemporary Romance Contemporary Romance Romance Adult Adult Fiction Erotica
James Patterson,school's out—forever,Young Adult Fantasy Science Fiction,James Patterson school's out—forever Young Adult Fantasy Science Fiction
Douglas R. Hofstadter,"gödel, escher, bach: an eternal golden braid",Science Nonfiction Philosophy Science Mathematics,"Douglas R. Hofstadter gödel, escher, bach: an eternal golden braid Science Nonfiction Philosophy Science Mathematics"
Jacqueline Susann,valley of the dolls,Fiction Classics Womens Fiction Chick Lit Romance,Jacqueline Susann valley of the dolls Fiction Classics Womens Fiction Chick Lit Romance
Sebastian Faulks,birdsong,Historical Historical Fiction Fiction War Classics Historical Romance,Sebastian Faulks birdsong Historical Historical Fiction Fiction War Classics Historical Romance
Rick Riordan,the blood of olympus,Fantasy Young Adult Fantasy Mythology,Rick Riordan the blood of olympus Fantasy Young Adult Fantasy Mythology
Stephenie Meyer,the short second life of bree tanner,Young Adult Fantasy Paranormal Vampires Fantasy Paranormal,Stephenie Meyer the short second life of bree tanner Young Adult Fantasy Paranormal Vampires Fantasy Paranormal
James Patterson,saving the world and other extreme sports,Young Adult Fantasy Science Fiction,James Patterson saving the world and other extreme sports Young Adult Fantasy Science Fiction
John Ajvide Lindqvist,let the right one in,Horror Fiction Paranormal Vampires Fantasy Fantasy Paranormal,John Ajvide Lindqvist let the right one in Horror Fiction Paranormal Vampires Fantasy Fantasy Paranormal
Amy Tan,the kitchen god's wife,Fiction Historical Historical Fiction Cultural China Cultural Asia Contemporary,Amy Tan the kitchen god's wife Fiction Historical Historical Fiction Cultural China Cultural Asia Contemporary
Henrik Ibsen Michael   Meyer,a doll's house,Plays Classics Drama Fiction Academic School Plays Theatre,Henrik Ibsen Michael   Meyer a doll's house Plays Classics Drama Fiction Academic School Plays Theatre
Mitch Albom,for one more day,Fiction Inspirational Contemporary,Mitch Albom for one more day Fiction Inspirational Contemporary
P.C. Cast Kristin Cast,awakened,Paranormal Vampires Young Adult Fantasy Fantasy Paranormal,P.C. Cast Kristin Cast awakened Paranormal Vampires Young Adult Fantasy Fantasy Paranormal
Arthur Conan Doyle,a study in scarlet,Classics Mystery Fiction Mystery Crime Mystery Detective,Arthur Conan Doyle a study in scarlet Classics Mystery Fiction Mystery Crime Mystery Detective
Rick Riordan,percy jackson and the olympians,Fantasy Young Adult Fantasy Mythology Adventure,Rick Riordan percy jackson and the olympians Fantasy Young Adult Fantasy Mythology Adventure
Jon Scieszka Lane Smith,the stinky cheese man and other fairly stupid tales,Childrens Picture Books Childrens Humor Fiction,Jon Scieszka Lane Smith the stinky cheese man and other fairly stupid tales Childrens Picture Books Childrens Humor Fiction
Pablo Neruda W.S. Merwin Cristina García,twenty love poems and a song of despair,Poetry Classics European Literature Spanish Literature Romance,Pablo Neruda W.S. Merwin Cristina García twenty love poems and a song of despair Poetry Classics European Literature Spanish Literature Romance
Herman Wouk,the winds of war,Historical Historical Fiction Fiction War World War II,Herman Wouk the winds of war Historical Historical Fiction Fiction War World War II
Stephen King,the drawing of the three,Fantasy Fiction Horror Science Fiction,Stephen King the drawing of the three Fantasy Fiction Horror Science Fiction
Vincent Bugliosi Curt Gentry,helter skelter: the true story of the manson murders,Nonfiction Crime True Crime Mystery Crime History Horror,Vincent Bugliosi Curt Gentry helter skelter: the true story of the manson murders Nonfiction Crime True Crime Mystery Crime History Horror
Anne Rice,memnoch the devil,Horror Paranormal Vampires Fantasy Fiction Fantasy Paranormal,Anne Rice memnoch the devil Horror Paranormal Vampires Fantasy Fiction Fantasy Paranormal
Beth Revis,across the universe,Young Adult Science Fiction Science Fiction Dystopia Romance,Beth Revis across the universe Young Adult Science Fiction Science Fiction Dystopia Romance
C.S. Lewis,the great divorce,Christian Fiction Religion Classics Religion Christianity Religion Theology Fantasy,C.S. Lewis the great divorce Christian Fiction Religion Classics Religion Christianity Religion Theology Fantasy
Agatha Christie,the murder of roger ackroyd,Mystery Fiction Mystery Crime Classics,Agatha Christie the murder of roger ackroyd Mystery Fiction Mystery Crime Classics
Tabitha Suzuma,forbidden,Young Adult Romance Contemporary Fiction,Tabitha Suzuma forbidden Young Adult Romance Contemporary Fiction
Leigh Bardugo,shadow and bone,Fantasy Young Adult Romance Fantasy Magic,Leigh Bardugo shadow and bone Fantasy Young Adult Romance Fantasy Magic
Ann-Marie MacDonald,fall on your knees,Fiction Historical Historical Fiction Cultural Canada,Ann-Marie MacDonald fall on your knees Fiction Historical Historical Fiction Cultural Canada
Paula Hawkins,the girl on the train,Fiction Mystery Thriller Mystery Crime,Paula Hawkins the girl on the train Fiction Mystery Thriller Mystery Crime
Alyson Noel,blue moon,Young Adult Fantasy Fantasy Paranormal Romance,Alyson Noel blue moon Young Adult Fantasy Fantasy Paranormal Romance
Robert R. McCammon,swan song,Horror Fiction Apocalyptic Post Apocalyptic Fantasy Science Fiction Science Fiction Dystopia,Robert R. McCammon swan song Horror Fiction Apocalyptic Post Apocalyptic Fantasy Science Fiction Science Fiction Dystopia
Ayn Rand Leonard Peikoff,the fountainhead,Fiction Classics Philosophy Literature,Ayn Rand Leonard Peikoff the fountainhead Fiction Classics Philosophy Literature
Karen Marie Moning,bloodfever,Fantasy Urban Fantasy Fantasy Fantasy Paranormal Romance Romance Paranormal Romance Fairies Fae,Karen Marie Moning bloodfever Fantasy Urban Fantasy Fantasy Fantasy Paranormal Romance Romance Paranormal Romance Fairies Fae
Neil Gaiman,anansi boys,Fantasy Fiction Fantasy Urban Fantasy Fantasy Mythology,Neil Gaiman anansi boys Fantasy Fiction Fantasy Urban Fantasy Fantasy Mythology
William Shakespeare David Lindley Israel Gollancz Barbara A. Mowat Jeremy Herrin Paul Werstine Ian Russell,the tempest,Classics Plays Drama Fiction,William Shakespeare David Lindley Israel Gollancz Barbara A. Mowat Jeremy Herrin Paul Werstine Ian Russell the tempest Classics Plays Drama Fiction
Jennifer L. Armentrout,half-blood,Fantasy Young Adult Fantasy Paranormal Fantasy Mythology Romance Romance Paranormal Romance,Jennifer L. Armentrout half-blood Fantasy Young Adult Fantasy Paranormal Fantasy Mythology Romance Romance Paranormal Romance
Julie Kagawa,the iron daughter,Fantasy Young Adult Romance Fantasy Paranormal Paranormal Fairies,Julie Kagawa the iron daughter Fantasy Young Adult Romance Fantasy Paranormal Paranormal Fairies
Raymond E. Feist,magician,Fantasy Fiction Fantasy Epic Fantasy Fantasy High Fantasy,Raymond E. Feist magician Fantasy Fiction Fantasy Epic Fantasy Fantasy High Fantasy
Jean M. Auel,the valley of horses,Historical Historical Fiction Fiction Historical Fantasy Romance,Jean M. Auel the valley of horses Historical Historical Fiction Fiction Historical Fantasy Romance
John Bunyan,the pilgrim's progress,Classics Fiction Christian Religion Christian Fiction Religion Christianity,John Bunyan the pilgrim's progress Classics Fiction Christian Religion Christian Fiction Religion Christianity
Nevil Shute,a town like alice,Fiction Historical Historical Fiction Classics Cultural Australia Romance War,Nevil Shute a town like alice Fiction Historical Historical Fiction Classics Cultural Australia Romance War
Frank E. Peretti,this present darkness,Christian Fiction Fiction Christian Fantasy,Frank E. Peretti this present darkness Christian Fiction Fiction Christian Fantasy
Simone Elkeles,rules of attraction,Young Adult Romance Contemporary Realistic Fiction,Simone Elkeles rules of attraction Young Adult Romance Contemporary Realistic Fiction
Douglas Adams,"life, the universe and everything",Science Fiction Fiction Humor Fantasy,"Douglas Adams life, the universe and everything Science Fiction Fiction Humor Fantasy"
Jim Butcher,storm front,Fantasy Fantasy Urban Fantasy Mystery Fiction Fantasy Paranormal Fantasy Magic,Jim Butcher storm front Fantasy Fantasy Urban Fantasy Mystery Fiction Fantasy Paranormal Fantasy Magic
Ursula Hegi,stones from the river,Historical Historical Fiction Fiction War World War II World War II Holocaust,Ursula Hegi stones from the river Historical Historical Fiction Fiction War World War II World War II Holocaust
Art Spiegelman,maus i: a survivor's tale: my father bleeds history,Sequential Art Graphic Novels Sequential Art Comics History Nonfiction Autobiography Memoir,Art Spiegelman maus i: a survivor's tale: my father bleeds history Sequential Art Graphic Novels Sequential Art Comics History Nonfiction Autobiography Memoir
William S. Burroughs James Grauerholz Barry  Miles,naked lunch,Fiction Classics Literature Novels,William S. Burroughs James Grauerholz Barry  Miles naked lunch Fiction Classics Literature Novels
Alexander Pushkin James E. Falen,eugene onegin,Classics Poetry Cultural Russia Fiction Literature Russian Literature,Alexander Pushkin James E. Falen eugene onegin Classics Poetry Cultural Russia Fiction Literature Russian Literature
Jennifer L. Armentrout,origin,Young Adult Fantasy Paranormal Romance Science Fiction Aliens Fantasy Science Fiction,Jennifer L. Armentrout origin Young Adult Fantasy Paranormal Romance Science Fiction Aliens Fantasy Science Fiction
Albert Camus Justin O'Brien,the fall,Fiction Philosophy Classics Cultural France Literature European Literature French Literature,Albert Camus Justin O'Brien the fall Fiction Philosophy Classics Cultural France Literature European Literature French Literature
Maggie Stiefvater,forever,Young Adult Fantasy Fantasy Paranormal Romance Shapeshifters Werewolves,Maggie Stiefvater forever Young Adult Fantasy Fantasy Paranormal Romance Shapeshifters Werewolves
H.P. Lovecraft Joyce Carol Oates,tales of h.p. lovecraft,Horror Short Stories Fiction Classics Fantasy Science Fiction,H.P. Lovecraft Joyce Carol Oates tales of h.p. lovecraft Horror Short Stories Fiction Classics Fantasy Science Fiction
Douglas Adams,dirk gently's holistic detective agency,Science Fiction Fiction Fantasy Humor Mystery,Douglas Adams dirk gently's holistic detective agency Science Fiction Fiction Fantasy Humor Mystery
Tim Butcher,the trigger: hunting the assassin who brought the world to war,History Nonfiction War World War I Travel War Biography,Tim Butcher the trigger: hunting the assassin who brought the world to war History Nonfiction War World War I Travel War Biography
Jeaniene Frost,destined for an early grave,Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Romance Paranormal Romance Romance Fantasy,Jeaniene Frost destined for an early grave Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Romance Paranormal Romance Romance Fantasy
P.D. Eastman,"go, dog. go!",Childrens Childrens Picture Books,"P.D. Eastman go, dog. go! Childrens Childrens Picture Books"
Alice Hoffman,practical magic,Fiction Fantasy Magical Realism Romance Fantasy Magic Paranormal Witches Fantasy Paranormal,Alice Hoffman practical magic Fiction Fantasy Magical Realism Romance Fantasy Magic Paranormal Witches Fantasy Paranormal
Trenton Lee Stewart Carson Ellis,the mysterious benedict society,Mystery Young Adult Fiction Fantasy Childrens Childrens Middle Grade Adventure,Trenton Lee Stewart Carson Ellis the mysterious benedict society Mystery Young Adult Fiction Fantasy Childrens Childrens Middle Grade Adventure
